date,close,ret,decision,position,trade_cost,pnl,equity
2018-04-02,49.68000030517578,-0.01623761771929144,1,1,0.0001,-0.01633761771929144,0.9836623822807086
2018-04-03,50.27000045776367,0.011876009439686364,1,1,0.0,0.011876009439686364,0.9953443660181387
2018-04-04,50.68000030517578,0.008155954718094494,1,1,0.0,0.008155954718094494,1.003462349596293
2018-04-05,51.08000183105469,0.007892689886942472,1,1,0.0,0.007892689886942472,1.0113823667348794
2018-04-06,50.27999877929688,-0.0156617663093237,1,1,0.0,-0.0156617663093237,0.995542332457707
2018-04-09,50.59000015258789,0.006165500811799118,1,1,0.0,0.006165500811799118,1.0016803495166553
2018-04-10,51.08000183105469,0.009685741786694457,1,1,0.0,0.009685741786694457,1.0113823667348796
2018-04-11,50.54999923706055,-0.010375931382052506,1,1,0.0,-0.010375931382052506,1.0008883326966207
2018-04-12,51.2400016784668,0.013649900134921733,1,1,0.0,0.013649900134921733,1.014550358484138
2018-04-13,50.95000076293945,-0.005659658587583771,1,1,0.0,-0.005659658587583771,1.008808349835207
2018-04-16,51.40999984741211,0.009028441169470103,1,1,0.0,0.009028441169470103,1.0179163166729643
2018-04-17,51.02000045776367,-0.007586060898774116,1,1,0.0,-0.007586060898774116,1.0101943415048273
2018-04-18,50.0,-0.019992168730144755,1,1,0.0,-0.019992168730144755,0.9899983657792254
2018-04-19,50.70000076293945,0.014000015258789134,1,1,0.0,0.014000015258789134,1.003858358006311
2018-04-20,50.43000030517578,-0.005325452735713498,1,1,0.0,-0.005325452735713498,0.9985123577673974
2018-04-23,50.540000915527344,0.0021812534143543783,1,1,0.0,0.0021812534143543783,1.0006903662570525
2018-04-24,50.41999816894531,-0.0023744112466994594,1,1,0.0,-0.0023744112466994594,0.998314315796948
2018-04-25,50.790000915527344,0.0073384125350866025,1,1,0.0,0.0073384125350866025,1.0056403580859488
2018-04-26,50.77999877929688,-0.00019693120791819396,1,1,0.0,-0.00019693120791819396,1.0054423161154995
2018-04-27,51.25,0.009255636707394599,1,1,0.0,0.009255636707394599,1.014748324923706
2018-04-30,50.45000076293945,-0.0156097412109375,1,1,0.0,-0.0156097412109375,0.9989083661774145
2018-05-01,50.720001220703125,0.005351842491190029,1,1,0.0,0.005351842491190029,1.004254366416328
2018-05-02,49.86000061035156,-0.016955847587805772,1,1,0.0,-0.016955847587805772,0.9872263824399842
2018-05-03,49.97999954223633,0.002406717417084314,1,1,0.0,0.002406717417084314,0.9896023573692077
2018-05-04,50.34000015258789,0.0072028934303478565,1,1,0.0,0.0072028934303478565,0.9967303576877591
2018-05-07,50.36000061035156,0.00039730746331034794,1,1,0.0,0.00039730746331034794,0.9971263660977764
2018-05-08,50.33000183105469,-0.0005956866348947321,1,1,0.0,-0.0005956866348947321,0.9965323912481908
2018-05-09,50.83000183105469,0.00993443238246594,1,1,0.0,0.00993443238246594,1.0064323749059831
2018-05-10,51.16999816894531,0.006688890923527424,1,1,0.0,0.006688890923527424,1.0131642912836358
2018-05-11,51.5,0.006449127278940647,1,1,0.0,0.006449127278940647,1.0196983167526017
2018-05-14,51.18000030517578,-0.006213586307266428,-1,-1,0.0002,0.006013586307266428,1.0258303605877677
2018-05-15,51.119998931884766,-0.001172359768136788,1,1,0.0002,-0.0013723597681367882,1.0244225522719639
2018-05-16,50.9900016784668,-0.002542982318743503,-1,-1,0.0002,0.002342982318743503,1.0268227561988592
2018-05-17,51.150001525878906,0.003137867074824552,1,1,0.0002,0.0029378670748245518,1.0298394249659764
